SerialNo,Title,Ministry,Introduced,Passed_LS,Passed_RS
129,"The Commission for Air Quality Management in National Capital Region and Adjoining Areas Bill, 2021","ENVIRONMENT, FORESTS & CLIMATE CHANGE",30/07/2021,04/08/2021,05/08/2021
130,"The Limited Liability Partnership (Amendment) Bill, 2021",CORPORATE AFFAIRS,30/07/2021,09/08/2021,04/08/2021
131,"The Deposit Insurance and Credit Guarantee Corporation (Amendment) Bill, 2021",FINANCE,30/07/2021,09/08/2021,04/08/2021
132,"The General Insurance Business (Nationalisation) Amendment Bill, 2021",FINANCE,30/07/2021,02/08/2021,11/08/2021
133,"The Coconut Development Board (Amendment) Bill, 2021",AGRICULTURE AND FARMERS WELFARE,29/07/2021,04/08/2021,30/07/2021
134,"The Appropriation (No.4) Bill, 2021",FINANCE,28/07/2021,28/07/2021,
135,"The Appropriation (No.3) Bill, 2021",FINANCE,28/07/2021,28/07/2021,
136,"The Insolvency and Bankruptcy Code (Amendment) Bill,2021",FINANCE,26/07/2021,28/07/2021,03/08/2021
137,"The Inland Vessels Bill, 2021","PORTS, SHIPPING & WATERWAYS",22/07/2021,29/07/2021,02/08/2021
138,"The Essential Defence Services Bill, 2021",DEFENCE,22/07/2021,03/08/2021,05/08/2021
139,"The Airports Economic Regulatory Authority of India (Amendment) Bill, 2021.",CIVIL AVIATION,24/03/2021,29/07/2021,04/08/2021
140,"The National Bank for Financing Infrastructure and Development Bill, 2021",FINANCE,22/03/2021,23/03/2021,25/03/2021
141,"The Appropriation Bill, 2021",FINANCE,18/03/2021,18/03/2021,23/03/2021
142,"The Jammu and Kashmir Appropriation Bill, 2021",FINANCE,18/03/2021,18/03/2021,23/03/2021
143,"The Jammu and Kashmir Appropriation (No. 2) Bill, 2021",FINANCE,18/03/2021,18/03/2021,23/03/2021
144,"The Puducherry Appropriation Bill, 2021",FINANCE,18/03/2021,18/03/2021,23/03/2021
145,"The Puducherry Appropriation (Vote on Account) Bill, 2021",FINANCE,18/03/2021,18/03/2021,23/03/2021
146,"The Appropriation (No.2) Bill, 2021",FINANCE,17/03/2021,17/03/2021,23/03/2021
147,"The Insurance (Amendment) Bill, 2021",FINANCE,15/03/2021,22/03/2021,18/03/2021
148,"The Government of National Capital Territory of Delhi (Amendment) Bill, 2021.",HOME AFFAIRS,15/03/2021,22/03/2021,24/03/2021
149,"The Mines and Minerals (Development and Regulation) Amendment Bill, 2021",MINES,15/03/2021,19/03/2021,22/03/2021
150,"The National Institute of Pharmaceutical Education and Research (Amendment) Bill, 2021",CHEMICALS AND FERTILIZERS,15/03/2021,06/12/2021,09/12/2021
151,"The Juvenile Justice (Care and Protection of Children) Amendment Bill, 2021",WOMEN AND CHILD DEVELOPMENT,15/03/2021,24/03/2021,28/07/2021
152,"The Marine Aids to Navigation Bill, 2021","PORTS, SHIPPING & WATERWAYS",15/03/2021,22/03/2021,27/07/2021
153,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2021",SOCIAL JUSTICE AND EMPOWERMENT,13/02/2021,19/03/2021,22/03/2021
154,"The National Capital Territory of Delhi Laws (Special Provisions) Second (Amendment) Bill, 2021",HOUSING AND URBAN AFFAIRS,08/02/2021,10/03/2021,09/02/2021
155,"The Arbitration and Conciliation (Amendment), 2021",LAW  AND JUSTICE,04/02/2021,12/02/2021,10/03/2021
156,"THE JAMMU AND KASHMIR REORGANISATION (AMENDMENT) BILL, 2021",HOME AFFAIRS,04/02/2021,13/02/2021,08/02/2021
157,"The Finance Bill, 2021.",FINANCE,01/02/2021,23/03/2021,24/03/2021
158,"The Jammu and Kashmir Official Languages Bill, 2020",HOME AFFAIRS,22/09/2020,22/09/2020,23/09/2020
159,"The Foreign Contribution (Regulation) Amendment Bill, 2020",HOME AFFAIRS,20/09/2020,21/09/2020,23/09/2020
160,"The Occupational Safety, Health and Working Conditions Code, 2020",LABOUR AND EMPLOYMENT,19/09/2020,22/09/2020,23/09/2020
161,"The Industrial Relations Code Bill, 2020",LABOUR AND EMPLOYMENT,19/09/2020,22/09/2020,23/09/2020
162,"The Code on Social Security, 2020",LABOUR AND EMPLOYMENT,19/09/2020,22/09/2020,23/09/2020
163,"The Appropriation (No. 4) Bill, 2020",FINANCE,18/09/2020,18/09/2020,23/09/2020
164,"The Appropriation (No. 3) Bill, 2020",FINANCE,18/09/2020,18/09/2020,23/09/2020
165,"The Taxation and Other Laws (Relaxation and Amendment of Certain Provisions) Bill, 2020",FINANCE,18/09/2020,19/09/2020,22/09/2020
166,"The Insolvency and Bankruptcy Code (Second Amendment) Bill, 2020",FINANCE,15/09/2020,21/09/2020,19/09/2020
167,"The National Commission for Allied and Healthcare Professions Bill, 2020",HEALTH AND FAMILY WELFARE,15/09/2020,24/03/2021,16/03/2021
168,"The Assisted Reproductive Technology (Regulation) Bill, 2020",HEALTH AND FAMILY WELFARE,14/09/2020,01/12/2021,08/12/2021
169,"The Bilateral Netting of Qualified Financial Contracts Bill, 2020",FINANCE,14/09/2020,20/09/2020,23/09/2020
170,"The Farmers' Produce Trade and Commerce (Promotion and Facilitation) Bill, 2020",AGRICULTURE AND FARMERS WELFARE,14/09/2020,17/09/2020,20/09/2020
171,"The Farmers' (Empowerment and Protection) Agreement of Price Assurance and Farm Services Bill, 2020",AGRICULTURE AND FARMERS WELFARE,14/09/2020,17/09/2020,20/09/2020
172,"The Factoring Regulation (Amendment) Bill, 2020",FINANCE,14/09/2020,26/07/2021,29/07/2021
173,"The Banking Regulation (Amendment) Bill, 2020",FINANCE,14/09/2020,16/09/2020,22/09/2020
174,"The Salaries and Allowances of Ministers (Amendment) Bill, 2020",HOME AFFAIRS,14/09/2020,20/09/2020,18/09/2020
175,"The Epidemic Diseases (Amendment) Bill, 2020",HEALTH AND FAMILY WELFARE,14/09/2020,21/09/2020,19/09/2020
176,"The Salary, Allowances and Pension of Members of Parliament (Amendment) Bill, 2020",PARLIAMENTARY AFFAIRS,14/09/2020,15/09/2020,18/09/2020
177,"The Essential Commodities (Amendment) Bill, 2020","CONSUMER AFFAIRS ,FOOD AND PUBLIC DISTRIBUTION",14/09/2020,15/09/2020,22/09/2020
178,"The Homoeopathy Central Council (Amendment) Bill, 2020","AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY",14/09/2020,21/09/2020,18/09/2020
179,"The Indian Medicine Central Council (Amendment) Bill, 2020","AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY",14/09/2020,21/09/2020,18/09/2020
180,"The Rashtriya Raksha University Bill, 2020",HOME AFFAIRS,23/03/2020,20/09/2020,22/09/2020
181,"The National Forensic Sciences University Bill, 2020",HOME AFFAIRS,23/03/2020,20/09/2020,22/09/2020
182,"The Appropriation (No.2) Bill, 2020",FINANCE,18/03/2020,18/03/2020,23/03/2020
183,"The Jammu and Kashmir Appropriation (No.2) Bill, 2020",FINANCE,18/03/2020,18/03/2020,23/03/2020
184,"The Jammu and Kashmir Appropriation (No.4) Bill, 2020",FINANCE,18/03/2020,18/03/2020,23/03/2020
185,"The Jammu and Kashmir Appropriation (No.3) Bill, 2020",FINANCE,18/03/2020,18/03/2020,23/03/2020
186,"The Jammu and Kashmir Appropriation Bill, 2020",FINANCE,18/03/2020,18/03/2020,23/03/2020
187,"The Companies (Amendment) Bill, 2020.",CORPORATE AFFAIRS,17/03/2020,19/09/2020,22/09/2020
188,"The Appropriation Bill, 2020",FINANCE,16/03/2020,16/03/2020,23/03/2020
189,Major Port Authorities Bill 2020,SHIPPING,12/03/2020,23/09/2020,10/02/2021
190,"Indian Institutes of Information Technology Laws (Amendment) Bill, 2020",HUMAN RESOURCE DEVELOPMENT,04/03/2020,20/03/2020,22/09/2020
191,"The Medical Termination of Pregnancy (Amendment) Bill, 2020",HEALTH AND FAMILY WELFARE,02/03/2020,17/03/2020,16/03/2021
192,"The Minerals Laws (Amendment) Bill, 2020",COAL,02/03/2020,06/03/2020,12/03/2020
193,"The Institute of Teaching and Research in Ayurveda Bill, 2020.","AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY",10/02/2020,19/03/2020,16/09/2020
194,"The Direct Tax Vivad Se Vishwas Bill, 2020",FINANCE,05/02/2020,04/03/2020,13/03/2020
195,"The Aircraft (Amendment) Bill, 2020",CIVIL AVIATION,04/02/2020,17/03/2020,15/09/2020
196,"The Finance Bill, 2020",FINANCE,01/02/2020,23/03/2020,23/03/2020
197,"The Insolvency and Bankruptcy Code (Second Amendment) Bill, 2019",CORPORATE AFFAIRS,12/12/2019,06/03/2020,12/03/2020
198,"The Central Sanskrit University Bill, 2019",HUMAN RESOURCE DEVELOPMENT,11/12/2019,12/12/2019,16/03/2020
199,"The Constitution (One Hundred Twenty-Sixth Amendment) Bill, 2019.",LAW  AND JUSTICE,09/12/2019,10/12/2019,12/12/2019
200,"The Citizenship (Amendment) Bill, 2019",HOME AFFAIRS,09/12/2019,09/12/2019,11/12/2019
201,"The Maritime Anti-Piracy Bill, 2022",EXTERNAL AFFAIRS,09/12/2019,19/12/2022,21/12/2022
202,"The Appropriation (No. 3) Bill, 2019",FINANCE,04/12/2019,04/12/2019,12/12/2019
203,"The Arms (Amendment) Bill, 2019",HOME AFFAIRS,29/11/2019,09/12/2019,10/12/2019
204,"The National Capital Territory of Delhi (Recognition of Property Rights of Residents in Unauthorised Colonies) Bill, 2019",HOUSING AND URBAN AFFAIRS,26/11/2019,28/11/2019,04/12/2019
205,"The Dadra and Nagar Haveli and Daman and Diu (Merger of Union Territories) Bill, 2019",HOME AFFAIRS,26/11/2019,27/11/2019,03/12/2019
206,"The Taxation Laws (Amendment) Bill, 2019",FINANCE,25/11/2019,02/12/2019,05/12/2019
207,"The International Financial Services Centres Authority Bill, 2019.",FINANCE,25/11/2019,11/12/2019,12/12/2019
208,"The Recycling of Ships Bill, 2019",SHIPPING,25/11/2019,03/12/2019,09/12/2019
209,"The Special Protection Group (Amendment) Bill, 2019",HOME AFFAIRS,25/11/2019,27/11/2019,03/12/2019
210,"The Prohibition of Electronic Cigarettes (Production, Manufacture, Import, Export, Sale, Distribution, Storage and Advertisement) Bill, 2019",HEALTH AND FAMILY WELFARE,22/11/2019,27/11/2019,02/12/2019
211,"The Jammu and Kashmir Reorganisation Bill, 2019.",HOME AFFAIRS,05/08/2019,06/08/2019,05/08/2019
212,"The Supreme Court (Number of Judges) Amendment Bill, 2019",LAW  AND JUSTICE,05/08/2019,05/08/2019,07/08/2019
213,"The Chit Funds (Amendment) Bill, 2019",FINANCE,05/08/2019,20/11/2019,28/11/2019
214,"The National Institute of Design (Amendment) Bill, 2019",COMMERCE AND INDUSTRY,30/07/2019,26/11/2019,06/08/2019
215,"The Dam Safety Bill, 2019",JAL SHAKTI,29/07/2019,02/08/2019,02/12/2021
216,"The Companies (Amendment) Bill, 2019",CORPORATE AFFAIRS,25/07/2019,26/07/2019,30/07/2019
217,"The Repealing and Amending Bill, 2019",LAW  AND JUSTICE,25/07/2019,29/07/2019,02/08/2019
218,"The Insolvency and Bankruptcy Code (Amendment) Bill, 2019",CORPORATE AFFAIRS,24/07/2019,01/08/2019,29/07/2019
219,"The Codes on Wages, 2019",LABOUR AND EMPLOYMENT,23/07/2019,30/07/2019,02/08/2019
220,"The National Medical Commission Bill, 2019",HEALTH AND FAMILY WELFARE,22/07/2019,29/07/2019,01/08/2019
221,"The Transgender Persons (Protection of Rights) Bill, 2019",SOCIAL JUSTICE AND EMPOWERMENT,19/07/2019,05/08/2019,26/11/2019
222,"The Banning of Unregulated Deposit Schemes Bill, 2019",FINANCE,19/07/2019,24/07/2019,29/07/2019
223,"The Right to Information (Amendment) Bill, 2019","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",19/07/2019,22/07/2019,25/07/2019
224,The Protection of Children from sexual Offences (Amendment) Bill 2019,WOMEN AND CHILD DEVELOPMENT,18/07/2019,01/08/2019,24/07/2019
225,"The Appropriation (No. 2) Bill, 2019",FINANCE,17/07/2019,17/07/2019,23/07/2019
226,"The Motor Vehicles (Amendment) Bill,2019",ROAD TRANSPORT & HIGHWAYS,15/07/2019,23/07/2019,31/07/2019
227,"The Surrogacy (Regulation) Bill, 2019",HEALTH AND FAMILY WELFARE,15/07/2019,05/08/2019,08/12/2021
228,"The Arbitration and Conciliation (Amendment) Bill,2019",LAW  AND JUSTICE,15/07/2019,01/08/2019,18/07/2019
229,"The Airports Economic Regulatory Authority of India (Amendment) Bill,2019",CIVIL AVIATION,12/07/2019,02/08/2019,16/07/2019
230,"The Unlawful Activities (Prevention) Amendment Bill, 2019",HOME AFFAIRS,08/07/2019,24/07/2019,02/08/2019
231,"The National Investigation Agency (Amendment) Bill, 2019",HOME AFFAIRS,08/07/2019,15/07/2019,17/07/2019
232,"The Protection of Human Rights (Amendment) Bill, 2019",HOME AFFAIRS,08/07/2019,19/07/2019,22/07/2019
233,"The Consumer Protection Bill, 2019","CONSUMER AFFAIRS ,FOOD AND PUBLIC DISTRIBUTION",08/07/2019,30/07/2019,06/08/2019
234,"The Public Premises (Eviction of Unauthorized Occupants) Amendment Bill, 2019",HOUSING AND URBAN AFFAIRS,08/07/2019,31/07/2019,06/08/2019
235,"The Jallianwala Bagh National Memorial (Amendment) Bill, 2019",CULTURE,08/07/2019,02/08/2019,19/11/2019
236,"The Central Universities (Amendment)Bill,2019",HUMAN RESOURCE DEVELOPMENT,08/07/2019,12/07/2019,16/07/2019
237,"The Finance (No. 2) Bill, 2019",FINANCE,05/07/2019,18/07/2019,23/07/2019
238,"The New Delhi International Arbitration centre Blll, 2019",LAW  AND JUSTICE,03/07/2019,10/07/2019,18/07/2019
239,"The Central Educational Institutions (Reservation in Teachers Cadre) Bill, 2019",HUMAN RESOURCE DEVELOPMENT,27/06/2019,01/07/2019,03/07/2019
240,"The Indian Medical Council (Amendment) Bill, 2019",HEALTH AND FAMILY WELFARE,27/06/2019,02/07/2019,04/07/2019
241,"The Dentists (Amendment) Bill, 2019",HEALTH AND FAMILY WELFARE,27/06/2019,03/07/2019,08/07/2019
242,"The Special Economic Zones (Amendment) Bill, 2019",COMMERCE AND INDUSTRY,24/06/2019,26/06/2019,27/06/2019
243,"The Jammu and Kashmir Reservation (Amendment) Bill, 2019",HOME AFFAIRS,24/06/2019,28/06/2019,01/07/2019
244,"The Aadhaar and Other Laws (Amendment) Bill, 2019",ELECTRONICS & INFORMATION TECHNOLOGY,24/06/2019,04/07/2019,08/07/2019
245,"The Muslim Women (Protection of Rights on Marriage) Bill, 2019",LAW  AND JUSTICE,21/06/2019,25/07/2019,30/07/2019
246,"The Homoeopathy Central Council (Amendment) Bill, 2019",HEALTH AND FAMILY WELFARE,21/06/2019,27/06/2019,02/07/2019
247,"The National Institute of Food Technology Entrepreneurship and Management Bill, 2019",FOOD PROCESSING INDUSTRIES,13/02/2019,26/07/2021,15/03/2021
248,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2019.",TRIBAL AFFAIRS,09/01/2019,11/02/2020,12/12/2019
249,"The National Commission for Indian System of Medicine Bill, 2020","AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY",07/01/2019,14/09/2020,18/03/2020
250,"The National Commission for Homoeopathy Bill, 2020.","AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY",07/01/2019,14/09/2020,18/03/2020
